entity,coupled,degree,average-revs
app/views/devise/confirmations/new.html.erb,app/views/devise/passwords/new.html.erb,90,6
app/views/devise/confirmations/new.html.erb,app/views/devise/unlocks/new.html.erb,85,7
app/views/admin/events/_action_page_events.html.erb,app/views/admin/events/_events.html.erb,80,10
app/views/devise/passwords/new.html.erb,app/views/devise/unlocks/new.html.erb,76,7
Gemfile,Gemfile.lock,70,50
app/controllers/congress_messages_controller.rb,spec/requests/congress_messages_spec.rb,61,26
app/controllers/admin/events_controller.rb,app/models/ahoy/event.rb,60,22
app/models/congress_message.rb,spec/requests/congress_messages_spec.rb,58,17
app/views/admin/action_pages/events.html.erb,app/views/admin/events/index.html.erb,58,9
lib/action_cloner.rb,spec/lib/action_cloner_spec.rb,57,14
lib/congress_forms.rb,spec/lib/congress_forms_spec.rb,50,16
features/action_page/congress_message.feature,features/step_definitions/action_page_steps.rb,50,10
app/controllers/congress_messages_controller.rb,app/models/congress_message.rb,48,25
app/controllers/admin/events_controller.rb,app/views/admin/events/table.html.erb,46,15
spec/lib/congress_forms_spec.rb,spec/requests/congress_messages_spec.rb,46,15
app/views/admin/action_pages/homepage.html.erb,app/views/admin/action_pages/index.html.erb,45,11
app/controllers/admin/events_controller.rb,spec/requests/admin/events_spec.rb,42,19
app/assets/stylesheets/admin.scss,app/assets/stylesheets/admin/mixins.scss,38,16
lib/congress_forms.rb,spec/requests/congress_messages_spec.rb,36,19
app/views/tools/_email.html.erb,app/views/tools/_petition.html.erb,35,20
app/views/tools/_call.html.erb,app/views/tools/_email.html.erb,35,20
app/models/congress_message.rb,spec/lib/congress_forms_spec.rb,35,14
app/assets/javascripts/admin/action_pages.js,app/assets/stylesheets/admin/action_pages.scss,34,18
app/helpers/congress_message_helper.rb,spec/requests/congress_messages_spec.rb,34,18
app/models/ahoy/event.rb,app/views/admin/events/table.html.erb,34,15
app/assets/stylesheets/welcome.scss,app/views/welcome/index.html.erb,33,42
app/models/congress_message.rb,lib/congress_forms.rb,33,18
app/controllers/admin/events_controller.rb,app/controllers/concerns/date_range.rb,33,15
app/models/ahoy/event.rb,spec/requests/admin/events_spec.rb,32,19
app/assets/stylesheets/admin.scss,app/assets/stylesheets/admin/action_pages.scss,32,19
config/locales/en.yml,spec/requests/congress_messages_spec.rb,32,16
app/controllers/congress_messages_controller.rb,app/helpers/congress_message_helper.rb,31,26
app/views/congress_messages/_form.html.erb,spec/requests/congress_messages_spec.rb,31,22
app/controllers/admin/events_controller.rb,app/views/admin/action_pages/events.html.erb,31,16
app/controllers/congress_messages_controller.rb,app/views/congress_messages/_form.html.erb,30,30
app/assets/javascripts/admin.js,app/assets/stylesheets/admin.scss,30,27
app/controllers/congress_messages_controller.rb,lib/congress_forms.rb,29,27
app/controllers/action_page_controller.rb,app/helpers/congress_message_helper.rb,28,21
app/models/action_page.rb,spec/models/action_page_spec.rb,27,19
app/helpers/congress_message_helper.rb,lib/congress_forms.rb,27,19
