COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
0ab3c9497c1c21769990795d3964338fd0fda7d2,528,3,0.005681818181818182,9,315,,,
1157e76536daeab46f24348826285c8a89a3d0d1,525,3,0.005714285714285714,9,321,,,
1a52bd315de472f68f152735d1efe1a2dd35879d,525,3,0.005714285714285714,9,316,,,
52f5bbdc50f74bfbc6e602b47506797f427ee48b,525,4,0.007619047619047619,9,317,,,
6d29924be3580c0cd9afe371ca3353f05be73b1b,525,1,0.0019047619047619048,9,320,,,
METRICS,,,,,,5.111111111111111,3.0,5.861835131689658
ca1b2be13133dd53fe18c7ca26f749719398b200,525,1,0.0019047619047619048,9,319,,,
cb1e3d833252f5436f2018752303d1bb64e77604,528,7,0.013257575757575758,9,314,,,
e5f6bbfa56b8cfd625b45e80500c0862cc5ae606,525,4,0.007619047619047619,9,318,,,
e767212830a75e652e8ba5b826cc423bc0fb63fd,525,20,0.0380952380952381,9,322,,,
