entity;coupled;degree;average-revs
app/validators/claim/advocate_claim_validator.rb;app/validators/claim/litigator_claim_validator.rb;100;7
app/views/advocates/admin/advocates/edit.html.haml;app/views/advocates/admin/advocates/new.html.haml;95;11
app/models/scheme.rb;spec/models/scheme_spec.rb;93;8
spec/factories/schemes.rb;spec/models/scheme_spec.rb;92;7
app/models/chamber.rb;spec/models/chamber_spec.rb;90;10
app/presenters/claim_history_presenter.rb;spec/presenters/claim_history_presenter_spec.rb;90;6
app/views/advocates/claims/_fixed_fee_fields.html.haml;app/views/advocates/claims/_misc_fee_fields.html.haml;88;9
app/models/scheme.rb;spec/factories/schemes.rb;85;7
app/models/provider.rb;spec/models/provider_spec.rb;85;7
Gemfile;Gemfile.lock;83;112
app/models/fee_type.rb;spec/models/fee_type_spec.rb;81;14
spec/examples/cms_exported_claim.json;spec/examples/multiple_cms_exported_claims.json;81;11
app/views/case_workers/admin/case_workers/edit.html.haml;app/views/case_workers/admin/case_workers/new.html.haml;80;10
app/models/assessment.rb;spec/models/assessment_spec.rb;80;8
app/views/layouts/advocate.html.haml;app/views/layouts/case_worker.html.haml;78;33
features/claim_status.feature;features/step_definitions/claim_status_steps.rb;77;18
spec/factories/dates_attended.rb;spec/models/date_attended_spec.rb;77;9
features/claim_allocation.feature;features/step_definitions/claim_allocation_steps.rb;76;25
config/environments/development.rb;config/environments/test.rb;76;13
spec/examples/invalid_cms_exported_claim.json;spec/examples/multiple_cms_exported_claims.json;76;11
spec/factories/certifications.rb;spec/models/certification_spec.rb;76;7
app/models/redetermination.rb;spec/models/assessment_spec.rb;76;7
app/models/date_attended.rb;spec/models/date_attended_spec.rb;75;12
app/interfaces/api/v1/advocates/date_attended.rb;app/interfaces/api/v1/advocates/representation_order.rb;72;11
app/models/assessment.rb;app/models/redetermination.rb;71;7
app/controllers/advocates/application_controller.rb;app/controllers/case_workers/application_controller.rb;71;7
app/models/fee.rb;spec/models/fee_spec.rb;70;37
spec/models/claim/advocate_claim_spec.rb;spec/models/claim/litigator_claim_spec.rb;70;10
app/controllers/claims_controller.rb;app/views/claims/_form.html.haml;70;10
app/models/vat_rate.rb;spec/models/vat_rate_spec.rb;70;9
app/validators/claim/advocate_claim_validator.rb;spec/models/claim/litigator_claim_spec.rb;70;9
app/validators/claim/litigator_claim_validator.rb;spec/models/claim/litigator_claim_spec.rb;70;9
app/models/advocate.rb;spec/models/advocate_spec.rb;69;28
app/views/case_workers/admin/allocations/_allocation.html.haml;app/views/case_workers/admin/allocations/_re_allocation.html.haml;69;12
features/claim_messages.feature;features/step_definitions/claim_messages_steps.rb;69;12
app/models/claim.rb;spec/models/claim_spec.rb;68;173
app/models/document.rb;spec/models/document_spec.rb;68;29
spec/factories/case_workers.rb;spec/models/case_worker_spec.rb;68;15
spec/examples/cms_exported_claim.json;spec/examples/invalid_cms_exported_claim.json;66;11
app/services/claim_reporter.rb;spec/services/claim_reporter_spec.rb;66;9
app/views/devise/mailer/reset_password_instructions.html.haml;spec/mailers/previews/adp_mailer_preview.rb;66;8
spec/factories/external_users.rb;spec/factories/providers.rb;66;8
app/views/layouts/application.html.haml;app/views/layouts/case_worker.html.haml;65;42
features/claim_redetermination.feature;features/step_definitions/claim_redetermination_steps.rb;64;17
app/interfaces/api/v1/advocates/date_attended.rb;app/interfaces/api/v1/advocates/expense.rb;64;13
app/views/layouts/advocate.html.haml;app/views/layouts/application.html.haml;63;40
app/models/date_attended.rb;spec/factories/dates_attended.rb;63;11
app/models/assessment.rb;app/models/determination.rb;63;10
app/models/claims/cloner.rb;spec/models/claims/cloner_spec.rb;63;10
app/views/documents/_form.html.haml;features/documents.feature;62;8
app/validators/claim/advocate_claim_validator.rb;app/validators/claim/base_claim_validator.rb;62;8
app/validators/claim/base_claim_validator.rb;app/validators/claim/litigator_claim_validator.rb;62;8
app/models/ability.rb;spec/models/ability_spec.rb;61;34
app/models/defendant.rb;spec/models/defendant_spec.rb;61;28
features/new_user.feature;features/step_definitions/new_user_steps.rb;61;13
features/advocate_claims.feature;features/step_definitions/advocate_claims_steps.rb;61;13
app/views/advocates/admin/advocates/change_password.html.haml;app/views/case_workers/admin/case_workers/change_password.html.haml;60;10
app/assets/stylesheets/_navigation.scss;app/assets/stylesheets/_shame.scss;60;10
app/views/advocates/claims/_basic_fee_fields.html.haml;app/views/advocates/claims/_fixed_fee_fields.html.haml;60;10
app/views/advocates/claims/_basic_fee_fields.html.haml;app/views/advocates/claims/_misc_fee_fields.html.haml;60;10
lib/demo_data/basic_fee_generator.rb;lib/demo_data/fee_generator.rb;60;10
app/models/claims/state_machine.rb;spec/models/claims/state_machine_spec.rb;59;52
app/presenters/claim_presenter.rb;spec/presenters/claim_presenter_spec.rb;59;32
app/validators/fee_validator.rb;spec/validators/fee_validator_spec.rb;59;32
app/validators/claim_textfield_validator.rb;spec/validators/claim_textfield_validator_spec.rb;58;26
app/models/expense.rb;spec/models/expense_spec.rb;58;21
app/interfaces/api/v1/advocates/representation_order.rb;spec/api/v1/claims/representation_order_spec.rb;58;16
features/claim_history.feature;features/step_definitions/claim_history_steps.rb;58;12
app/models/determination.rb;app/models/redetermination.rb;58;9
features/advocate_claims_list.feature;features/step_definitions/advocate_claims_list_steps.rb;57;42
app/validators/claim_date_validator.rb;spec/validators/claim_date_validator_spec.rb;57;19
app/controllers/messages_controller.rb;app/views/shared/_messages.html.haml;57;18
db/seeds/fee_types.rb;lib/assets/data/fee_types.csv;57;14
app/interfaces/api/v1/advocates/defendant.rb;app/interfaces/api/v1/advocates/representation_order.rb;57;14
app/interfaces/api/v1/advocates/date_attended.rb;app/interfaces/api/v1/advocates/defendant.rb;57;14
app/controllers/api/advocates/claims_controller.rb;spec/controllers/api/advocates/claims_controller_spec.rb;56;25
app/interfaces/api/v1/advocates/expense.rb;app/interfaces/api/v1/advocates/representation_order.rb;56;13
app/models/case_worker.rb;spec/models/case_worker_spec.rb;55;24
lib/demo_data/basic_fee_generator.rb;lib/demo_data/expense_generator.rb;55;9
spec/factories/chambers.rb;spec/models/chamber_spec.rb;55;9
spec/factories/claim/litigator_claims.rb;spec/models/claim/litigator_claim_spec.rb;55;9
app/models/determination.rb;spec/models/assessment_spec.rb;55;9
features/advocate_new_claim.feature;features/step_definitions/advocate_new_claim_steps.rb;54;84
app/interfaces/api/v1/advocates/fee.rb;spec/api/v1/claims/fee_spec.rb;54;22
app/models/case_type.rb;spec/factories/case_types.rb;54;11
app/models/user.rb;spec/models/user_spec.rb;53;15
features/documents.feature;features/step_definitions/document_steps.rb;53;15
app/models/message.rb;spec/models/message_spec.rb;53;15
spec/api/v1/claims/date_attended_spec.rb;spec/api/v1/claims/representation_order_spec.rb;52;21
app/presenters/claim_csv_presenter.rb;spec/presenters/claim_csv_presenter_spec.rb;52;12
app/validators/claim/base_claim_validator.rb;spec/models/claim/litigator_claim_spec.rb;52;10
app/assets/stylesheets/_shame.scss;app/assets/stylesheets/_tables.scss;52;10
app/models/feedback.rb;app/views/feedback/new.html.haml;52;10
features/sign_in.feature;features/step_definitions/sign_in_steps.rb;51;29
app/interfaces/api/v1/advocates/claim.rb;app/interfaces/api/v1/advocates/defendant.rb;51;22
spec/factories/documents.rb;spec/models/document_spec.rb;51;18
app/controllers/advocates/admin/advocates_controller.rb;spec/controllers/advocates/admin/advocates_controller_spec.rb;51;18
app/interfaces/api/v1/advocates/defendant.rb;app/interfaces/api/v1/advocates/expense.rb;51;16
config/environments/development.rb;config/environments/production.rb;51;16
app/controllers/advocates/claims_controller.rb;spec/controllers/advocates/claims_controller_spec.rb;50;128
spec/api/v1/claims/claim_spec.rb;spec/api/v1/claims/defendant_spec.rb;50;28
spec/controllers/advocates/admin/advocates_controller_spec.rb;spec/controllers/case_workers/admin/case_workers_controller_spec.rb;50;18
app/controllers/application_controller.rb;spec/controllers/application_controller_spec.rb;50;18
app/models/chamber.rb;spec/factories/chambers.rb;50;10
app/interfaces/api/v1/dropdown_data.rb;spec/api/v1/claims/dropdown_data_spec.rb;50;10
spec/api/v1/claims/defendant_spec.rb;spec/api/v1/claims/expense_spec.rb;48;25
spec/api/v1/claims/date_attended_spec.rb;spec/api/v1/claims/expense_spec.rb;48;21
db/seeds/advocates.rb;db/seeds/case_workers.rb;48;19
spec/factories/advocates.rb;spec/models/advocate_spec.rb;48;19
app/interfaces/api/v1/advocates/expense.rb;spec/api/v1/claims/expense_spec.rb;48;17
config/environments/production.rb;config/environments/test.rb;48;15
app/views/advocates/admin/advocates/edit.html.haml;app/views/advocates/admin/advocates/index.html.haml;48;13
spec/examples/invalid_cms_exported_claim.json;spec/models/json_document_importer_spec.rb;47;17
spec/api/v1/claims/date_attended_spec.rb;spec/api/v1/claims/defendant_spec.rb;46;26
spec/api/v1/claims/expense_spec.rb;spec/api/v1/claims/representation_order_spec.rb;46;20
spec/factories/defendants.rb;spec/models/defendant_spec.rb;46;15
app/views/devise/mailer/reset_password_instructions.html.erb;features/step_definitions/new_user_steps.rb;46;13
app/views/advocates/admin/advocates/index.html.haml;app/views/advocates/admin/advocates/new.html.haml;46;13
db/seeds/case_types.rb;spec/factories/case_types.rb;46;13
app/views/advocates/claims/_representation_order_fields.html.haml;spec/factories/representation_orders.rb;46;13
app/controllers/case_workers/admin/case_workers_controller.rb;spec/controllers/case_workers/admin/case_workers_controller_spec.rb;45;22
spec/api/v1/claims/claim_spec.rb;spec/api/v1/claims/expense_spec.rb;45;22
app/views/advocates/claims/_defendant_fields.html.haml;app/views/advocates/claims/_representation_order_fields.html.haml;45;18
spec/examples/multiple_cms_exported_claims.json;spec/models/json_document_importer_spec.rb;45;18
app/interfaces/api/v1/advocates/expense.rb;app/interfaces/api/v1/advocates/fee.rb;45;16
db/seeds/fee_types.rb;spec/factories/fee_types.rb;45;16
app/models/expense.rb;app/models/fee.rb;44;36
spec/api/v1/claims/date_attended_spec.rb;spec/api/v1/claims/fee_spec.rb;44;25
spec/api/v1/claims/defendant_spec.rb;spec/api/v1/claims/representation_order_spec.rb;44;25
app/views/advocates/claims/show.html.haml;app/views/case_workers/claims/show.html.haml;43;47
app/interfaces/api/v1/advocates/claim.rb;spec/api/v1/claims/claim_spec.rb;43;26
spec/api/v1/claims/expense_spec.rb;spec/api/v1/claims/fee_spec.rb;43;23
app/controllers/documents_controller.rb;features/step_definitions/document_steps.rb;43;23
app/models/representation_order.rb;spec/models/representation_order_spec.rb;43;19
features/caseworker_claims_list.feature;features/step_definitions/caseworker_claims_list_steps.rb;42;28
app/interfaces/api/v1/advocates/defendant.rb;spec/api/v1/claims/defendant_spec.rb;42;24
spec/api/v1/claims/fee_spec.rb;spec/api/v1/claims/representation_order_spec.rb;42;24
app/models/json_document_importer.rb;spec/models/json_document_importer_spec.rb;42;21
app/interfaces/api/v1/advocates/date_attended.rb;spec/api/v1/claims/date_attended_spec.rb;42;17
app/controllers/messages_controller.rb;app/models/message.rb;42;17
app/models/representation_order.rb;spec/factories/representation_orders.rb;42;17
config/locales/devise.en.yml;features/step_definitions/new_user_steps.rb;42;14
app/validators/base_claim_validator.rb;app/validators/date_attended_validator.rb;42;14
app/interfaces/api/v1/advocates/fee.rb;app/interfaces/api/v1/advocates/representation_order.rb;42;14
features/document_security.feature;features/step_definitions/document_steps.rb;42;14
app/interfaces/api/v1/advocates/date_attended.rb;app/interfaces/api/v1/advocates/fee.rb;42;14
app/models/document.rb;spec/factories/documents.rb;41;22
app/interfaces/api/v1/advocates/defendant.rb;app/interfaces/api/v1/api_helper.rb;41;20
app/interfaces/api/v1/advocates/defendant.rb;app/interfaces/api/v1/advocates/fee.rb;41;17
app/models/json_document_importer.rb;spec/examples/cms_exported_claim.json;41;15
app/interfaces/api/v1/advocates/defendant.rb;app/interfaces/api/v1/advocates/root.rb;41;15
spec/factories/fee_types.rb;spec/models/fee_type_spec.rb;41;15
app/models/fee_type.rb;db/seeds/fee_types.rb;41;15
app/models/case_type.rb;db/seeds/case_types.rb;41;12
db/seeds/fee_types.rb;spec/models/fee_type_spec.rb;41;12
app/views/documents/_form.html.haml;features/step_definitions/document_steps.rb;41;12
app/models/ability.rb;config/routes.rb;40;66
app/controllers/advocates/admin/advocates_controller.rb;app/views/advocates/admin/advocates/_form.html.haml;40;25
app/validators/base_claim_validator.rb;app/validators/claim_textfield_validator.rb;40;23
features/step_definitions/document_steps.rb;spec/models/document_spec.rb;40;22
app/models/advocate.rb;spec/factories/advocates.rb;40;22
app/interfaces/api/v1/api_helper.rb;spec/api/v1/claims/date_attended_spec.rb;40;22
app/models/case_worker.rb;spec/factories/case_workers.rb;40;20
db/migrate/20150325142122_create_claims.rb;features/step_definitions/advocate_claims_steps.rb;40;18
app/assets/stylesheets/advocates/application.css.scss;app/assets/stylesheets/case_workers/application.css.scss;40;18
spec/examples/cms_exported_claim.json;spec/models/json_document_importer_spec.rb;40;18
app/controllers/messages_controller.rb;app/views/messages/create.js.erb;40;13
app/models/fee_category.rb;app/models/fee_type.rb;40;13
app/models/defendant.rb;app/models/representation_order.rb;39;31
app/interfaces/api/v1/api_helper.rb;spec/api/v1/claims/expense_spec.rb;39;21
spec/api/v1/claims/defendant_spec.rb;spec/api/v1/claims/fee_spec.rb;38;29
spec/factories/fee_types.rb;spec/factories/fees.rb;38;24
app/models/defendant.rb;spec/factories/defendants.rb;38;24
app/interfaces/api/v1/advocates/defendant.rb;spec/api/v1/claims/expense_spec.rb;38;18
app/interfaces/api/v1/advocates/date_attended.rb;spec/api/v1/claims/representation_order_spec.rb;38;16
config/locales/error_messages.en.yml;spec/validators/fee_validator_spec.rb;37;27
app/controllers/advocates/admin/advocates_controller.rb;spec/models/advocate_spec.rb;37;22
app/interfaces/api/v1/advocates/claim.rb;app/interfaces/api/v1/advocates/date_attended.rb;37;19
app/views/advocates/claims/_date_attended_fields.html.haml;app/views/advocates/claims/_expense_fields.html.haml;37;16
db/seeds/advocates.rb;spec/models/advocate_spec.rb;36;22
app/controllers/documents_controller.rb;features/documents.feature;36;19
spec/api/v1/claims/fee_spec.rb;spec/api/v1/claims/shared_examples_for_fees.rb;36;17
db/seeds/advocates.rb;spec/factories/advocates.rb;36;17
spec/factories/claims.rb;spec/models/claim_spec.rb;35;121
app/models/message.rb;app/views/shared/_messages.html.haml;35;20
