entity;coupled;degree;average-revs
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;100;8
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/george_gower.html.erb;100;7
app/views/past_foreign_secretaries/george_curzon.html.erb;app/views/past_foreign_secretaries/george_gower.html.erb;100;7
app/views/past_foreign_secretaries/edward_wood.html.erb;app/views/past_foreign_secretaries/george_curzon.html.erb;100;7
app/views/past_foreign_secretaries/george_gower.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;100;7
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/george_curzon.html.erb;100;7
app/views/past_foreign_secretaries/robert_cecil.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;100;7
app/views/past_foreign_secretaries/george_gordon.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;100;7
app/views/past_foreign_secretaries/edward_wood.html.erb;app/views/past_foreign_secretaries/george_gordon.html.erb;100;7
app/views/past_foreign_secretaries/george_curzon.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;100;7
app/views/past_foreign_secretaries/george_gordon.html.erb;app/views/past_foreign_secretaries/george_gower.html.erb;100;7
test/unit/whitehall/authority/world_editor_test.rb;test/unit/whitehall/authority/world_writer_test.rb;100;7
app/views/past_foreign_secretaries/george_gower.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;100;7
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/george_gordon.html.erb;100;7
app/views/past_foreign_secretaries/george_gordon.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;100;7
app/views/past_foreign_secretaries/edward_wood.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;100;7
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;100;7
app/views/past_foreign_secretaries/george_curzon.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;100;7
app/views/past_foreign_secretaries/edward_wood.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;100;7
app/views/past_foreign_secretaries/edward_wood.html.erb;app/views/past_foreign_secretaries/george_gower.html.erb;100;7
app/views/past_foreign_secretaries/george_curzon.html.erb;app/views/past_foreign_secretaries/george_gordon.html.erb;100;7
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/edward_wood.html.erb;100;7
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;100;7
lib/whitehall/extra_quote_remover.rb;test/unit/whitehall/extra_quote_remover_test.rb;100;6
app/views/admin/groups/edit.html.erb;app/views/admin/groups/new.html.erb;100;6
lib/h_card.rb;test/unit/h_card_test.rb;100;6
app/providers/frontend/statistical_release_announcement_provider.rb;test/unit/providers/frontend/statistical_release_announcement_provider_test.rb;100;6
app/models/email_signup/title_extractor.rb;test/unit/email_signup/title_extractor_test.rb;100;5
features/email-signup-for-topical-events.feature;features/email-signup-for-topics.feature;100;5
app/views/history/edward_wood.html.erb;app/views/history/william_grenville.html.erb;100;5
lib/govspeak/link_extractor.rb;test/unit/govspeak/link_extractor_test.rb;100;5
app/views/admin/people/edit.html.erb;app/views/admin/people/new.html.erb;100;5
app/models/frontend/statistical_release_announcements_filter.rb;test/unit/models/frontend/statistical_release_announcement_filter_test.rb;100;5
app/presenters/publishing_api/consultation_presenter.rb;test/unit/presenters/publishing_api/consultation_presenter_test.rb;96;30
app/presenters/publishing_api/corporate_information_page_presenter.rb;test/unit/presenters/publishing_api/corporate_information_page_presenter_test.rb;96;15
app/presenters/api/specialist_guide_presenter.rb;test/functional/api/specialist_guide_presenter_test.rb;94;17
app/presenters/publishing_api/speech_presenter.rb;test/unit/presenters/publishing_api/speech_presenter_test.rb;94;9
lib/whitehall/publishing_api/html_attachment_pusher.rb;test/unit/whitehall/publishing_api/html_attachment_pusher_test.rb;94;9
app/views/past_foreign_secretaries/george_gower.html.erb;app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/george_curzon.html.erb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;93;8
app/views/past_foreign_secretaries/george_gordon.html.erb;app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;93;8
app/views/past_foreign_secretaries/george_curzon.html.erb;app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;93;8
lib/tasks/election/policy_paper_publisher.rb;test/unit/tasks/election/policy_paper_publisher_test.rb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/charles_fox.html.erb;93;8
app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;93;8
lib/whitehall/broken_link_reporter.rb;test/unit/whitehall/broken_link_reporter_test.rb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/william_grenville.html.erb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/george_gower.html.erb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/edward_wood.html.erb;93;8
app/views/past_foreign_secretaries/edward_wood.html.erb;app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;93;8
app/views/past_foreign_secretaries/charles_fox.html.erb;app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;93;8
app/views/past_foreign_secretaries/henry_petty_fitzmaurice.html.erb;app/views/past_foreign_secretaries/robert_cecil.html.erb;93;8
app/views/past_foreign_secretaries/austen_chamberlain.html.erb;app/views/past_foreign_secretaries/george_gordon.html.erb;93;8
Gemfile;Gemfile.lock;92;537
app/views/admin/policy_teams/edit.html.erb;app/views/admin/policy_teams/new.html.erb;92;7
app/presenters/api/world_location_presenter.rb;test/unit/presenters/api/world_location_presenter_test.rb;90;10
app/controllers/admin/document_sources_controller.rb;test/functional/admin/document_sources_controller_test.rb;90;6
lib/whitehall/uploader/parsers/summarise_body.rb;test/unit/uploader/parsers/summarise_body_test.rb;90;6
app/services/service_listeners/router_registrar.rb;test/unit/services/listeners/router_registrar_test.rb;90;6
app/views/admin/role_appointments/edit.html.erb;app/views/admin/role_appointments/new.html.erb;90;6
app/workers/worker_base.rb;test/unit/workers/worker_base_test.rb;90;6
features/step_definitions/government_steps.rb;features/support/governments_helper.rb;90;6
app/models/edition/has_document_series.rb;test/unit/edition/has_document_series_test.rb;90;6
