Project,Task,Changed files,TestI,TextI
https://github.com/sharetribe/sharetribe,138,"[app/controllers/listings_controller.rb, app/presenters/listing_presenter.rb, app/assets/stylesheets/views/_layout.scss, app/models/custom_field_values/dropdown_field_value.rb, app/views/listings/new.haml, config/locales/en.yml, app/services/person/settings_service.rb, app/views/layouts/application.haml, app/views/settings/show.haml, app/assets/javascripts/listing_form.js, app/helpers/listings_helper.rb, app/views/listings/edit.haml, app/views/listings/form/_form_content.haml, app/views/people/_profile_action_buttons.haml, config/routes.rb, features/admin/acts_as_person/admin_creates_new_listing.feature, features/step_definitions/listing_steps.rb, app/controllers/people_controller.rb, app/controllers/settings_controller.rb, app/filters/ensure_can_access_person.rb, app/helpers/application_helper.rb, app/services/feature_flag_service/store.rb, app/services/person/show_service.rb, spec/controllers/people_controller_spec.rb, app/controllers/testimonials_controller.rb, app/models/person.rb, app/view_utils/testimonial_view_utils.rb, app/views/people/_followed_people.haml, app/views/people/show.haml]","[app/jobs/notify_followers_job.rb, app/mailers/mail_view_test_data.rb, app/models/community.rb, app/models/community_membership.rb, app/models/email.rb, app/models/listing.rb, app/models/person.rb, app/services/analytic_service/api/api.rb, app/services/email_service/api/api.rb, app/services/feature_flag_service/api/api.rb, app/services/listing_index_service/api/api.rb, app/services/paypal_service/api/api.rb, app/services/plan_service/api/api.rb, app/services/stripe_service/api/api.rb, app/services/transaction_service/api/api.rb, app/services/translation_service/api/api.rb, app/utils/form_utils.rb]",[app/controllers/listings_controller.rb]
https://github.com/sharetribe/sharetribe,155,"[config/locales/ab.yml, config/locales/ar.yml, config/locales/az-AZ.yml, config/locales/bg.yml, config/locales/bn-BD.yml, config/locales/ca.yml, config/locales/crp.yml, config/locales/cs.yml, config/locales/da-DK.yml, config/locales/de.yml, config/locales/el.yml, config/locales/en-AU.yml, config/locales/en-GB.yml, config/locales/en-NZ.yml, config/locales/eo.yml, config/locales/es-ES.yml, config/locales/es.yml, config/locales/et.yml, config/locales/eu-ES.yml, config/locales/fi.yml, config/locales/fr-CA.yml, config/locales/fr.yml, config/locales/he-IL.yml, config/locales/hi-IN.yml, config/locales/hr.yml, config/locales/hu.yml, config/locales/hy-AM.yml, config/locales/id.yml, config/locales/is.yml, config/locales/it.yml, config/locales/ja.yml, config/locales/ka.yml, config/locales/km-KH.yml, config/locales/ko.yml, config/locales/lv.yml, config/locales/mn.yml, config/locales/ms-MY.yml, config/locales/nb.yml, config/locales/nl.yml, config/locales/pl.yml, config/locales/pt-BR.yml, config/locales/pt-PT.yml, config/locales/ro.yml, config/locales/ru.yml, config/locales/sk-SK.yml, config/locales/sl.yml, config/locales/sq-AL.yml, config/locales/sr.yml, config/locales/sv.yml, config/locales/sw.yml, config/locales/ta-IN.yml, config/locales/th-TH.yml, config/locales/ti.yml, config/locales/tr-TR.yml, config/locales/uk.yml, config/locales/vi.yml, config/locales/zh-HK.yml, config/locales/zh-TW.yml, config/locales/zh.yml, app/assets/javascripts/admin/manage_members.js, app/assets/javascripts/admin/memberships.js, app/assets/javascripts/application.js, app/assets/stylesheets/views/admin/_memberships.scss, app/controllers/admin/community_memberships_controller.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/presenters/admin/membership_presenter.rb, app/services/admin/communities/membership_service.rb, app/view_utils/admin_community_memberships_view_utils.rb, app/views/admin/community_memberships/_pending_confirmation.haml, app/views/admin/community_memberships/_pending_consent.haml, app/views/admin/community_memberships/index.haml, config/locales/en.yml, config/routes.rb, features/admin/manage_members/admin_lists_members.feature, features/step_definitions/admin_manage_members_steps.rb, features/step_definitions/user_steps.rb, spec/controllers/admin/community_membership_controller_spec.rb]","[app/models/community.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/utils/form_utils.rb]","[features/admin/manage_members/admin_lists_members.feature, features/step_definitions/user_steps.rb]"
https://github.com/sharetribe/sharetribe,157,"[app/assets/javascripts/admin/manage_members.js, app/assets/javascripts/admin/memberships.js, app/assets/javascripts/application.js, app/assets/stylesheets/views/admin/_memberships.scss, app/controllers/admin/community_memberships_controller.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/presenters/admin/membership_presenter.rb, app/services/admin/communities/membership_service.rb, app/view_utils/admin_community_memberships_view_utils.rb, app/views/admin/community_memberships/_pending_confirmation.haml, app/views/admin/community_memberships/_pending_consent.haml, app/views/admin/community_memberships/index.haml, config/locales/en.yml, config/routes.rb, features/admin/manage_members/admin_lists_members.feature, features/step_definitions/admin_manage_members_steps.rb, features/step_definitions/user_steps.rb, spec/controllers/admin/community_membership_controller_spec.rb]","[app/models/community.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/utils/form_utils.rb]","[features/admin/manage_members/admin_lists_members.feature, features/step_definitions/user_steps.rb]"
https://github.com/sharetribe/sharetribe,158,"[app/assets/stylesheets/views/admin/_memberships.scss, app/models/community_membership.rb, app/presenters/admin/membership_presenter.rb, app/services/admin/communities/membership_service.rb, app/views/admin/community_memberships/_pending_confirmation.haml, app/views/admin/community_memberships/_pending_consent.haml, config/locales/en.yml, spec/controllers/admin/community_membership_controller_spec.rb, app/view_utils/admin_community_memberships_view_utils.rb, features/admin/manage_members/admin_lists_members.feature, features/step_definitions/admin_manage_members_steps.rb, features/step_definitions/user_steps.rb, app/views/admin/community_memberships/index.haml, app/assets/javascripts/admin/manage_members.js, app/assets/javascripts/admin/memberships.js, app/assets/javascripts/application.js, app/controllers/admin/community_memberships_controller.rb, app/models/email.rb, app/models/person.rb, config/routes.rb]","[app/models/community.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/utils/form_utils.rb]","[features/admin/manage_members/admin_lists_members.feature, features/step_definitions/user_steps.rb]"
https://github.com/sharetribe/sharetribe,159,"[app/assets/stylesheets/views/admin/_memberships.scss, app/models/community_membership.rb, app/presenters/admin/membership_presenter.rb, app/services/admin/communities/membership_service.rb, app/views/admin/community_memberships/_pending_confirmation.haml, app/views/admin/community_memberships/_pending_consent.haml, config/locales/en.yml, spec/controllers/admin/community_membership_controller_spec.rb, app/view_utils/admin_community_memberships_view_utils.rb, features/admin/manage_members/admin_lists_members.feature, features/step_definitions/admin_manage_members_steps.rb, features/step_definitions/user_steps.rb, app/views/admin/community_memberships/index.haml, app/assets/javascripts/admin/manage_members.js, app/assets/javascripts/admin/memberships.js, app/assets/javascripts/application.js, app/controllers/admin/community_memberships_controller.rb, app/models/email.rb, app/models/person.rb, config/routes.rb]","[app/models/community.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/utils/form_utils.rb]",[features/admin/manage_members/admin_lists_members.feature]
https://github.com/sharetribe/sharetribe,189,"[config/locales/sr.yml, app/views/landing_page/_icon.erb, config/locales/en.yml, features/admin/admin_edits_community_details.feature, app/services/feature_flag_service/store.rb, app/views/admin/communities/edit_look_and_feel.haml, app/views/admin/communities/social_media.haml, app/views/layouts/_marketplace_head.haml]","[app/models/community.rb, app/models/community_membership.rb, app/models/person.rb]",[features/admin/admin_edits_community_details.feature]
https://github.com/sharetribe/sharetribe,190,"[app/assets/javascripts/admin/transactions.js, app/assets/stylesheets/partials/_admin.scss, app/assets/stylesheets/views/admin/_communities.scss, app/controllers/admin/community_transactions_controller.rb, app/models/transaction.rb, app/presenters/admin_transactions_presenter.rb, app/services/admin/transactions_search_service.rb, app/views/admin/community_transactions/index.haml, app/views/layouts/_style_overrides.haml, config/locales/en.yml, features/admin/statistics_and_info/admin_views_transactions.feature]","[app/models/community.rb, app/models/community_membership.rb, app/models/conversation.rb, app/models/email.rb, app/models/listing.rb, app/models/message.rb, app/models/person.rb, app/models/transaction.rb, app/presenters/listing_presenter.rb, app/services/transaction_service/store/transaction.rb, app/services/transaction_service/transaction.rb, app/utils/entity_utils.rb, app/utils/form_utils.rb]","[app/helpers/application_helper.rb, config/locales/en.yml, features/admin/statistics_and_info/admin_views_transactions.feature, features/step_definitions/admin_transaction_steps.rb]"
https://github.com/sharetribe/sharetribe,191,"[app/controllers/admin/community_customizations_controller.rb, app/helpers/communities_helper.rb, app/views/admin/community_customizations/_locale_input_fields.haml, app/views/homepage/index.haml, features/admin/admin_edits_community_details.feature]","[app/models/community.rb, app/models/community_membership.rb, app/models/person.rb]","[config/locales/en.yml, features/admin/admin_edits_community_details.feature]"
https://github.com/sharetribe/sharetribe,196,"[app/controllers/admin/community_memberships_controller.rb, app/models/person.rb, app/view_utils/admin_community_memberships_view_utils.rb, features/admin/manage_members/admin_lists_members.feature, features/step_definitions/user_steps.rb]","[app/models/community.rb, app/models/community_membership.rb, app/models/email.rb, app/models/person.rb, app/utils/form_utils.rb]","[features/admin/manage_members/admin_lists_members.feature, features/step_definitions/admin_manage_members_steps.rb]"
https://github.com/sharetribe/sharetribe,241,"[app/assets/javascripts/kassi.js, app/assets/stylesheets/main.scss, app/models/custom_field_values/numeric_field_value.rb, app/models/custom_field_values/text_field_value.rb, app/views/people/show.haml, app/views/settings/custom_fields/_checkbox.haml, app/views/settings/custom_fields/_date_field.haml, app/views/settings/custom_fields/_dropdown.haml, app/views/settings/custom_fields/_numeric.haml, app/views/settings/custom_fields/_text.haml, features/settings/user_updates_profile_information.feature, spec/models/numeric_field_value_spec.rb, spec/models/text_field_value_spec.rb, vendor/assets/javascripts/jquery.validate.js]","[app/controllers/invitations_controller.rb, app/helpers/application_helper.rb, app/models/community.rb, app/models/community_membership.rb, app/models/custom_field.rb, app/models/custom_field_name.rb, app/models/email.rb, app/models/person.rb, app/services/analytic_service/api/api.rb, app/services/email_service/api/api.rb, app/services/feature_flag_service/api/api.rb, app/services/listing_index_service/api/api.rb, app/services/paypal_service/api/api.rb, app/services/plan_service/api/api.rb, app/services/stripe_service/api/api.rb, app/services/transaction_service/api/api.rb, app/services/translation_service/api/api.rb, app/utils/form_utils.rb, app/view_utils/path_helpers.rb, app/views/admin/_left_hand_navigation.haml, app/views/admin/communities/settings.haml, app/views/layouts/_filename.haml, app/views/layouts/_info_text.haml, app/views/layouts/_left_hand_navigation.haml, app/views/settings/_community_updates_radiobutton.haml, app/views/settings/_notification_checkbox.haml, app/views/settings/account.haml, app/views/settings/custom_fields/_checkbox.haml, app/views/settings/custom_fields/_date_field.haml, app/views/settings/custom_fields/_dropdown.haml, app/views/settings/custom_fields/_numeric.haml, app/views/settings/custom_fields/_text.haml, app/views/settings/notifications.haml, app/views/settings/show.haml, app/views/settings/unsubscribe.haml]",[features/settings/user_updates_profile_information.feature]
