entity,coupled,degree,average-revs
app/models/claim.rb,spec/models/claim_spec.rb,91,12
app/models/claim.rb,app/views/advocates/claims/_form.html.haml,86,12
app/controllers/advocates/claims_controller.rb,spec/controllers/advocates/claims_controller_spec.rb,85,7
spec/controllers/advocates/claims_controller_spec.rb,spec/models/claim_spec.rb,84,10
app/models/claim.rb,spec/controllers/advocates/claims_controller_spec.rb,76,11
app/views/advocates/claims/_form.html.haml,spec/models/claim_spec.rb,76,11
Gemfile,Gemfile.lock,76,7
app/views/advocates/claims/_form.html.haml,features/step_definitions/advocate_new_claim_steps.rb,75,8
app/controllers/advocates/claims_controller.rb,app/views/advocates/claims/_form.html.haml,75,8
app/controllers/advocates/claims_controller.rb,spec/models/claim_spec.rb,70,9
app/views/advocates/claims/_form.html.haml,spec/controllers/advocates/claims_controller_spec.rb,66,9
app/controllers/advocates/claims_controller.rb,app/models/claim.rb,63,10
app/models/claim.rb,features/step_definitions/advocate_new_claim_steps.rb,63,10
spec/factories/claims.rb,spec/models/claim_spec.rb,62,8
app/models/claim.rb,spec/factories/claims.rb,55,9
Gemfile.lock,spec/models/claim_spec.rb,52,10
Gemfile.lock,app/models/claim.rb,47,11
