--1b8254c2--2011-01-16--Jen Smith
--38eac5d4--2011-01-15--John D. Hume
1	2	app/controllers/publish_form_section_controller.rb
0	4	app/models/form_section.rb
3	34	spec/controllers/publish_form_section_controller_spec.rb

--436d7d43--2011-01-15--John D. Hume
2	3	features/home_page_link.feature
3	3	features/manage_children.feature

--5aa4257c--2011-01-15--John D. Hume
2	2	app/views/home/index.html.erb

--ed39cb5a--2011-01-15--John D. Hume
2	1	public/stylesheets/core.css

--80b46fbe--2011-01-14--John D. Hume
1	1	app/controllers/children_controller.rb
0	1	app/models/field.rb
5	7	app/models/form_section.rb
2	2	app/views/children/edit.html.erb
2	2	app/views/children/new.html.erb
1	1	app/views/children/show.html.erb
1	1	lib/pdf_generator.rb
11	11	spec/controllers/children_controller_spec.rb
3	1	spec/controllers/form_section_controller_spec.rb
19	5	spec/models/form_section_spec.rb
3	21	spec/views/child/edit.html.erb_spec.rb
3	21	spec/views/child/new.html.erb_spec.rb

--f4c17fc1--2011-01-14--John D. Hume
0	7	app/views/shared/_sidebar.html.erb

--a7ade536--2011-01-14--Prakriti
2	1	app/views/form_section/edit.html.erb
13	4	features/edit_form_section.feature

--b1826b34--2011-01-13--Prakriti
1	1	public/stylesheets/core.css
