entity,coupled,degree,average-revs
spec/chubbies/Gemfile,spec/chubbies/Gemfile.lock,94,10
Gemfile,Gemfile.lock,91,18
features/oauth.feature,features/step_definitions/oauth_steps.rb,78,12
app/controllers/contacts_controller.rb,app/views/contacts/index.html.haml,77,9
app/views/contacts/index.html.haml,public/stylesheets/sass/application.sass,59,14
Gemfile,spec/chubbies/Gemfile,59,14
Gemfile,spec/chubbies/Gemfile.lock,57,14
Gemfile.lock,spec/chubbies/Gemfile,53,13
app/controllers/contacts_controller.rb,public/stylesheets/sass/application.sass,52,12
Gemfile.lock,spec/chubbies/Gemfile.lock,51,14
app/controllers/authorizations_controller.rb,spec/controllers/authorizations_controller_spec.rb,50,18
app/controllers/authorizations_controller.rb,features/oauth.feature,38,18
app/controllers/authorizations_controller.rb,features/step_definitions/oauth_steps.rb,37,19
app/controllers/authorizations_controller.rb,app/views/authorizations/new.html.haml,37,16
db/schema.rb,features/oauth.feature,37,14
db/schema.rb,features/step_definitions/oauth_steps.rb,35,14
app/controllers/authorizations_controller.rb,db/schema.rb,34,21
app/controllers/authorizations_controller.rb,spec/chubbies/Gemfile.lock,34,18
Gemfile.lock,features/step_definitions/oauth_steps.rb,34,15
app/controllers/authorizations_controller.rb,spec/chubbies/Gemfile,29,17
app/controllers/authorizations_controller.rb,spec/chubbies/app.rb,29,17
Gemfile,app/controllers/authorizations_controller.rb,23,22
