Project;Task;Changed files;TestI;TextI;TestIWithDeps;IsolatedDeps;Precision;Recall;F2;PrecisionDeps;RecallDeps;F2Deps;ProductionChangedFiles;TestIwithFilteredDeps;FilteredDeps;ChangedPrecision;ChangedRecall;Changedf2;ChangedPrecisionDeps;ChangedRecallDeps;Changedf2Deps
https://github.com/allourideas/allourideas.org;117;[app/controllers/questions_controller.rb, app/views/photocracy/earls/show.haml, config/routes.rb, app/views/home/admin.html.haml, features/admin/control_panel.feature, test/factories/earl.rb];[app/controllers/home_controller.rb, app/models/question.rb, app/views/home/admin.html.haml, app/views/shared/_highcharts_header.html.haml];[features/results/view_individual_idea_page.feature, features/step_definitions/idea_marketplace_steps.rb];['app/controllers/home_controller.rb', 'app/models/question.rb', 'app/views/home/admin.html.haml', 'app/views/shared/_highcharts_header.html.haml'];;0.25;0.16666666666666666;0.17857142857142855;0.25;0.16666666666666666;0.17857142857142855;['app/controllers/questions_controller.rb', 'app/views/photocracy/earls/show.haml', 'app/views/home/admin.html.haml'];['app/controllers/home_controller.rb', 'app/models/question.rb', 'app/views/home/admin.html.haml', 'app/views/shared/_highcharts_header.html.haml'];;0.25;0.3333333333333333;0.3125;0.25;0.3333333333333333;0.3125
https://github.com/allourideas/allourideas.org;119;[public/javascripts/widget/widget.js, public/stylesheets/widget/sass/screen.sass, public/stylesheets/widget/screen.css, app/views/widget/earls/_cast_votes.html.haml, app/views/widget/earls/_vote_box_js.html.erb, app/controllers/home_controller.rb, app/controllers/questions_controller.rb, app/views/home/admin.html.haml, db/migrate/20100804144725_add_photocracy_flag_to_earls.rb, db/schema.rb, lib/tasks/prune_db.rake, public/javascripts/photocracy/application.js, app/views/layouts/application.html.haml, app/views/questions/admin.html.haml, app/views/widget/layouts/application.html.haml, config/locales/en.yml, db/migrate/20100805232919_add_google_analytics_code_to_earls.rb, app/views/photocracy/choices/show.html.erb, config/locales/photocracy_en.yml, app/views/home/about.html.haml, app/views/shared/_header.html.haml, app/models/clearance_mailer.rb, config/initializers/mail.rb, app/controllers/earls_controller.rb, app/controllers/prompts_controller.rb, app/models/visitor.rb, app/views/earls/_vote_box_js.html.erb, app/views/photocracy/layouts/application.html.haml, app/controllers/abingo_dashboard_controller.rb, app/controllers/application_controller.rb, app/views/photocracy/earls/show.haml, vendor/plugins/abingo/lib/abingo/alternative.rb, vendor/plugins/abingo/lib/abingo/experiment.rb, app/views/earls/show.html.haml, public/stylesheets/photocracy/application.css, public/stylesheets/photocracy/application.scss, features/widget/about/widget_about.feature, features/widget/voting/widget_cantdecide.feature, features/widget/voting/widget_trackingappearances.feature];[app/models/choice.rb, app/models/earl.rb, app/models/item.rb, app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[features/step_definitions/voting_steps.rb, features/support/paths.rb];['app/models/choice.rb', 'app/models/earl.rb', 'app/models/item.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/views/widget/earls/_cast_votes.html.haml', 'app/views/widget/earls/_vote_box_js.html.erb', 'app/controllers/home_controller.rb', 'app/controllers/questions_controller.rb', 'app/views/home/admin.html.haml', 'app/views/layouts/application.html.haml', 'app/views/questions/admin.html.haml', 'app/views/widget/layouts/application.html.haml', 'app/views/photocracy/choices/show.html.erb', 'app/views/home/about.html.haml', 'app/views/shared/_header.html.haml', 'app/models/clearance_mailer.rb', 'app/controllers/earls_controller.rb', 'app/controllers/prompts_controller.rb', 'app/models/visitor.rb', 'app/views/earls/_vote_box_js.html.erb', 'app/views/photocracy/layouts/application.html.haml', 'app/controllers/abingo_dashboard_controller.rb', 'app/controllers/application_controller.rb', 'app/views/photocracy/earls/show.haml', 'app/views/earls/show.html.haml'];['app/models/choice.rb', 'app/models/earl.rb', 'app/models/item.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;121;[app/models/idea_mailer.rb, app/views/idea_mailer/flag_notification.erb, config/locales/photocracy_en.yml, features/photocracy/add_photo.feature, features/photocracy/individual_photo_page.feature, features/photocracy/voting_history.feature, app/views/photocracy/questions/_prompt.haml, public/javascripts/photocracy/application.js, app/views/photocracy/questions/admin.html.haml, app/views/photocracy/layouts/application.html.haml, app/views/photocracy/earls/show.haml, features/photocracy/flag_as_inappropriate.feature, config/locales/en.yml, app/views/photocracy/layouts/_google_analytics.html.erb, features/step_definitions/voting_steps.rb, features/fraud_prevention/ignore_votes_after_skips.feature, app/views/photocracy/questions/_results_header.html.erb, app/controllers/questions_controller.rb, public/stylesheets/photocracy/application.css, public/stylesheets/photocracy/application.scss, features/step_definitions/admin_steps.rb, app/controllers/application_controller.rb, app/controllers/earls_controller.rb, app/views/widget/earls/show.html.haml, public/stylesheets/widget/sass/screen.sass, public/stylesheets/widget/screen.css, app/views/widget/earls/_vote_box_js.html.erb, app/views/widget/earls/_cast_votes.html.haml];[app/models/choice.rb, app/models/density.rb, app/models/earl.rb, app/models/prompt.rb, app/models/question.rb, app/models/session.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[app/models/idea_mailer.rb, features/step_definitions/voting_steps.rb];['app/models/choice.rb', 'app/models/density.rb', 'app/models/earl.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/models/session.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/models/idea_mailer.rb', 'app/views/idea_mailer/flag_notification.erb', 'app/views/photocracy/questions/_prompt.haml', 'app/views/photocracy/questions/admin.html.haml', 'app/views/photocracy/layouts/application.html.haml', 'app/views/photocracy/earls/show.haml', 'app/views/photocracy/layouts/_google_analytics.html.erb', 'app/views/photocracy/questions/_results_header.html.erb', 'app/controllers/questions_controller.rb', 'app/controllers/application_controller.rb', 'app/controllers/earls_controller.rb', 'app/views/widget/earls/show.html.haml', 'app/views/widget/earls/_vote_box_js.html.erb', 'app/views/widget/earls/_cast_votes.html.haml'];['app/models/choice.rb', 'app/models/density.rb', 'app/models/earl.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/models/session.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;122;[app/models/idea_mailer.rb, app/views/idea_mailer/flag_notification.erb, config/locales/photocracy_en.yml, features/photocracy/add_photo.feature, features/photocracy/individual_photo_page.feature, features/photocracy/voting_history.feature, app/views/photocracy/questions/_prompt.haml, public/javascripts/photocracy/application.js, app/views/photocracy/questions/admin.html.haml, app/views/photocracy/layouts/application.html.haml, app/views/photocracy/earls/show.haml, features/photocracy/flag_as_inappropriate.feature, config/locales/en.yml, app/views/photocracy/layouts/_google_analytics.html.erb, features/step_definitions/voting_steps.rb, features/fraud_prevention/ignore_votes_after_skips.feature, app/views/photocracy/questions/_results_header.html.erb, app/controllers/questions_controller.rb, public/stylesheets/photocracy/application.css, public/stylesheets/photocracy/application.scss, features/step_definitions/admin_steps.rb];[app/models/choice.rb, app/models/density.rb, app/models/earl.rb, app/models/prompt.rb, app/models/question.rb, app/models/session.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[features/step_definitions/voting_steps.rb, features/support/paths.rb];['app/models/choice.rb', 'app/models/density.rb', 'app/models/earl.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/models/session.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/models/idea_mailer.rb', 'app/views/idea_mailer/flag_notification.erb', 'app/views/photocracy/questions/_prompt.haml', 'app/views/photocracy/questions/admin.html.haml', 'app/views/photocracy/layouts/application.html.haml', 'app/views/photocracy/earls/show.haml', 'app/views/photocracy/layouts/_google_analytics.html.erb', 'app/views/photocracy/questions/_results_header.html.erb', 'app/controllers/questions_controller.rb'];['app/models/choice.rb', 'app/models/density.rb', 'app/models/earl.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/models/session.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;126;[app/controllers/prompts_controller.rb, features/fraud_prevention/ignore_votes_after_skips.feature, app/views/idea_mailer/notification.erb, app/views/idea_mailer/notification_for_active.erb, config/locales/en.yml, app/controllers/application_controller.rb, app/views/errors/404.html.haml, app/views/errors/500.html.haml, app/views/photocracy/errors/404.html.haml, app/views/photocracy/errors/500.html.haml, public/404.html, public/500.html, app/views/photocracy/earls/show.haml, public/javascripts/photocracy/application.js, app/views/idea_mailer/_signature.erb, app/models/clearance_mailer.rb, app/models/idea_mailer.rb, app/controllers/choices_controller.rb, app/views/choices/show.html.haml, app/views/photocracy/choices/show.html.erb, config/environment.rb, config/environments/staging.rb, config/initializers/mail.rb, app/models/photo.rb, app/views/photocracy/questions/_photo.haml];[app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[features/step_definitions/voting_steps.rb, features/support/paths.rb];['app/views/abingo_dashboard/_experiment_row.html.haml', 'app/models/question.rb', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/controllers/prompts_controller.rb', 'app/views/idea_mailer/notification.erb', 'app/views/idea_mailer/notification_for_active.erb', 'app/controllers/application_controller.rb', 'app/views/errors/404.html.haml', 'app/views/errors/500.html.haml', 'app/views/photocracy/errors/404.html.haml', 'app/views/photocracy/errors/500.html.haml', 'app/views/photocracy/earls/show.haml', 'app/views/idea_mailer/_signature.erb', 'app/models/clearance_mailer.rb', 'app/models/idea_mailer.rb', 'app/controllers/choices_controller.rb', 'app/views/choices/show.html.haml', 'app/views/photocracy/choices/show.html.erb', 'app/models/photo.rb', 'app/views/photocracy/questions/_photo.haml'];['app/views/abingo_dashboard/_experiment_row.html.haml', 'app/models/question.rb', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;128;[app/models/clearance_mailer.rb, app/models/idea_mailer.rb, app/views/photocracy/questions/admin.html.haml, app/controllers/earls_controller.rb, app/views/photocracy/earls/show.haml, features/photocracy/add_photo.feature, public/photocracy_errors/404.html, public/photocracy_errors/500.html, app/views/idea_mailer/notification.erb, app/views/idea_mailer/notification_for_active.erb, features/voting/add_idea.feature, app/controllers/choices_controller.rb, app/views/photocracy/choices/show.html.erb, features/photocracy/individual_photo_page.feature, features/step_definitions/voting_steps.rb, features/support/paths.rb];[app/controllers/choices_controller.rb, app/models/choice.rb, app/models/earl.rb, app/models/prompt.rb, app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml, app/views/choices/show.html.haml, app/views/shared/_header_vote.html.haml];[features/step_definitions/voting_steps.rb, features/support/paths.rb];['app/controllers/choices_controller.rb', 'app/models/choice.rb', 'app/models/earl.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml', 'app/views/choices/show.html.haml', 'app/views/shared/_header_vote.html.haml'];;0.1111111111111111;0.0625;0.06849315068493152;0.1111111111111111;0.0625;0.06849315068493152;['app/models/clearance_mailer.rb', 'app/models/idea_mailer.rb', 'app/views/photocracy/questions/admin.html.haml', 'app/controllers/earls_controller.rb', 'app/views/photocracy/earls/show.haml', 'app/views/idea_mailer/notification.erb', 'app/views/idea_mailer/notification_for_active.erb', 'app/controllers/choices_controller.rb', 'app/views/photocracy/choices/show.html.erb'];['app/controllers/choices_controller.rb', 'app/models/choice.rb', 'app/models/earl.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml', 'app/views/choices/show.html.haml', 'app/views/shared/_header_vote.html.haml'];;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
https://github.com/allourideas/allourideas.org;130;[app/views/widget/earls/_vote_box_js.html.erb, features/step_definitions/voting_steps.rb, features/support/paths.rb, features/widget/different_view_paths.feature, features/widget/voting/widget_add_idea.feature, features/widget/voting/widget_cantdecide.feature, features/widget/voting/widget_flag_as_inappropriate.feature];[app/controllers/choices_controller.rb, app/controllers/home_controller.rb, app/controllers/questions_controller.rb, app/models/choice.rb, app/models/earl.rb, app/models/item.rb, app/models/prompt.rb, app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml, app/views/choices/show.html.haml, app/views/home/about.html.haml, app/views/home/admin.html.haml, app/views/home/index.html.haml, app/views/home/privacy.html.haml, app/views/questions/_idea.html.haml, app/views/questions/about.html.haml, app/views/questions/admin.html.haml, app/views/questions/new.html.haml, app/views/questions/results.html.haml, app/views/questions/voter_map.html.erb, app/views/questions/word_cloud.html.erb, app/views/shared/_google_jsapi.html.haml, app/views/shared/_header_vote.html.haml, app/views/shared/_highcharts_header.html.haml];[features/results/view_individual_idea_page.feature, features/step_definitions/idea_marketplace_steps.rb];['app/controllers/choices_controller.rb', 'app/controllers/home_controller.rb', 'app/controllers/questions_controller.rb', 'app/models/choice.rb', 'app/models/earl.rb', 'app/models/item.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml', 'app/views/choices/show.html.haml', 'app/views/home/about.html.haml', 'app/views/home/admin.html.haml', 'app/views/home/index.html.haml', 'app/views/home/privacy.html.haml', 'app/views/questions/_idea.html.haml', 'app/views/questions/about.html.haml', 'app/views/questions/admin.html.haml', 'app/views/questions/new.html.haml', 'app/views/questions/results.html.haml', 'app/views/questions/voter_map.html.erb', 'app/views/questions/word_cloud.html.erb', 'app/views/shared/_google_jsapi.html.haml', 'app/views/shared/_header_vote.html.haml', 'app/views/shared/_highcharts_header.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/views/widget/earls/_vote_box_js.html.erb'];['app/controllers/choices_controller.rb', 'app/controllers/home_controller.rb', 'app/controllers/questions_controller.rb', 'app/models/choice.rb', 'app/models/earl.rb', 'app/models/item.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml', 'app/views/choices/show.html.haml', 'app/views/home/about.html.haml', 'app/views/home/admin.html.haml', 'app/views/home/index.html.haml', 'app/views/home/privacy.html.haml', 'app/views/questions/_idea.html.haml', 'app/views/questions/about.html.haml', 'app/views/questions/admin.html.haml', 'app/views/questions/new.html.haml', 'app/views/questions/results.html.haml', 'app/views/questions/voter_map.html.erb', 'app/views/questions/word_cloud.html.erb', 'app/views/shared/_google_jsapi.html.haml', 'app/views/shared/_header_vote.html.haml', 'app/views/shared/_highcharts_header.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;142;[app/views/questions/results.html.haml, features/results/votes_by_date_graph.feature, app/controllers/application_controller.rb, app/controllers/questions_controller.rb, config/environment.rb];[app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[features/results/view_individual_idea_page.feature, features/step_definitions/idea_marketplace_steps.rb];['app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/views/questions/results.html.haml', 'app/controllers/application_controller.rb', 'app/controllers/questions_controller.rb'];['app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;164;[features/fraud_prevention/prevent_skip_by_reload.feature, features/step_definitions/fraud_prevention_steps.rb, features/voting/cantdecide.feature, app/views/questions/admin.html.haml, config/locales/en.yml, features/admin/admin_interface.feature];[app/models/choice.rb, app/models/prompt.rb, app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[config/routes.rb, features/step_definitions/admin_steps.rb, features/step_definitions/idea_marketplace_steps.rb, features/support/paths.rb];['app/models/choice.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/views/questions/admin.html.haml'];['app/models/choice.rb', 'app/models/prompt.rb', 'app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
https://github.com/allourideas/allourideas.org;169;[app/views/home/admin.html.haml, app/views/questions/admin.html.haml, features/admin/toggle_choice_activation.feature, features/admin/toggle_ideaautoactivation.feature, features/step_definitions/voting_steps.rb, public/javascripts/application.js];[app/models/question.rb, app/views/abingo_dashboard/_experiment_row.html.haml, app/views/abingo_dashboard/index.html.haml];[features/admin/flag_as_inappropriate_choice.feature, features/step_definitions/idea_marketplace_steps.rb];['app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0;['app/views/home/admin.html.haml', 'app/views/questions/admin.html.haml'];['app/models/question.rb', 'app/views/abingo_dashboard/_experiment_row.html.haml', 'app/views/abingo_dashboard/index.html.haml'];;0.0;0.0;0.0;0.0;0.0;0.0
