entity,coupled,degree,average-revs
Gemfile,Gemfile.lock,93,25
app/assets/stylesheets/single-post-view.scss,app/assets/templates/single-post-viewer/single-post-content_tpl.jst.hbs,93,8
app/assets/stylesheets/publisher.scss,app/views/publisher/_publisher.html.haml,90,6
config/defaults.yml,config/diaspora.yml.example,84,10
app/assets/javascripts/app/views/location_stream.js,spec/javascripts/app/views/location_stream_spec.js,83,6
app/assets/javascripts/app/views/location_stream.js,app/assets/javascripts/app/views/single-post-viewer/single_post_content_view.js,77,9
app/assets/stylesheets/header.scss,app/assets/templates/header_tpl.jst.hbs,63,10
app/assets/javascripts/app/views/single-post-viewer/single_post_content_view.js,spec/javascripts/app/views/location_stream_spec.js,62,8
app/assets/stylesheets/leftnavbar.scss,app/views/streams/main_stream.html.haml,55,9
app/assets/stylesheets/colors.scss,app/views/streams/main_stream.html.haml,55,9
Gemfile,app/assets/javascripts/main.js,36,17
Gemfile.lock,app/assets/javascripts/main.js,35,17
app/assets/javascripts/main.js,app/assets/stylesheets/_application.scss,30,17
