entity,coupled,degree,average-revs
public/stylesheets/one_click.css,public/stylesheets/sass/one_click.sass,100,5
Gemfile,Gemfile.lock,92,47
app/controllers/meetings_controller.rb,spec/controllers/meetings_controller_spec.rb,92,7
app/models/meeting.rb,spec/models/meeting_spec.rb,85,7
app/controllers/directors_controller.rb,spec/controllers/directors_controller_spec.rb,82,9
spec/models/member_spec.rb,spec/models/proposal_spec.rb,71,7
app/models/company.rb,spec/models/company_spec.rb,63,10
app/models/proposal.rb,spec/models/proposal_spec.rb,50,12
app/controllers/members_controller.rb,config/routes.rb,48,15
app/models/proposal.rb,spec/models/member_spec.rb,45,11
app/models/member.rb,app/models/proposal.rb,34,15
