entity,coupled,degree,average-revs
app/controllers/api/v1/base_controller.rb,app/controllers/api/v1/import_controller.rb,71,7
app/controllers/api/v1/import_controller.rb,config/routes.rb,70,9
app/views/comments/_comment_form.html.erb,features/comments_and_kudos/add_comment.feature,66,9
app/controllers/comments_controller.rb,app/views/comments/_comment_form.html.erb,66,9
Gemfile,Gemfile.lock,65,22
app/controllers/api/v1/base_controller.rb,app/controllers/api/v1/bookmarks_controller.rb,63,11
app/views/comments/_comment_form.html.erb,features/step_definitions/generic_steps.rb,62,8
spec/api/api_bookmarks_spec.rb,spec/api/api_helper.rb,58,9
app/controllers/api/v1/bookmarks_controller.rb,spec/api/api_bookmarks_spec.rb,51,14
app/controllers/api/v1/bookmarks_controller.rb,app/controllers/api/v1/import_controller.rb,45,11
app/controllers/api/v1/works_controller.rb,config/routes.rb,45,11
app/controllers/api/v1/bookmarks_controller.rb,app/controllers/api/v1/works_controller.rb,37,14
