entity,coupled,degree,average-revs
public/apple-touch-icon-144x144-precomposed.png,public/apple-touch-icon-precomposed.png,100,6
public/apple-touch-icon-152x152-precomposed.png,public/apple-touch-icon-180x180-precomposed.png,100,6
public/apple-touch-icon-114x114-precomposed.png,public/apple-touch-icon-72x72-precomposed.png,100,5
public/apple-touch-icon-114x114-precomposed.png,public/apple-touch-icon.png,100,5
public/apple-touch-icon-120x120.png,public/apple-touch-icon-180x180.png,100,5
public/apple-touch-icon-57x57-precomposed.png,public/apple-touch-icon.png,100,5
public/apple-touch-icon-152x152.png,public/apple-touch-icon-76x76-precomposed.png,100,5
public/apple-touch-icon-114x114-precomposed.png,public/apple-touch-icon-57x57-precomposed.png,100,5
public/apple-touch-icon-72x72-precomposed.png,public/apple-touch-icon.png,100,5
public/apple-touch-icon-57x57-precomposed.png,public/apple-touch-icon-72x72-precomposed.png,100,5
public/apple-touch-icon-120x120-precomposed.png,public/apple-touch-icon-152x152.png,90,6
public/apple-touch-icon-114x114-precomposed.png,public/apple-touch-icon-144x144-precomposed.png,90,6
public/apple-touch-icon-72x72-precomposed.png,public/apple-touch-icon-precomposed.png,90,6
public/apple-touch-icon-144x144-precomposed.png,public/apple-touch-icon-57x57-precomposed.png,90,6
public/apple-touch-icon-120x120-precomposed.png,public/apple-touch-icon-76x76-precomposed.png,90,6
public/apple-touch-icon-precomposed.png,public/apple-touch-icon.png,90,6
public/apple-touch-icon-144x144-precomposed.png,public/apple-touch-icon.png,90,6
public/apple-touch-icon-114x114-precomposed.png,public/apple-touch-icon-precomposed.png,90,6
public/apple-touch-icon-57x57-precomposed.png,public/apple-touch-icon-precomposed.png,90,6
public/apple-touch-icon-144x144-precomposed.png,public/apple-touch-icon-72x72-precomposed.png,90,6
public/apple-touch-icon-152x152-precomposed.png,public/apple-touch-icon-167x167-precomposed.png,83,6
public/apple-touch-icon-167x167-precomposed.png,public/apple-touch-icon-precomposed.png,83,6
public/apple-touch-icon-120x120-precomposed.png,public/apple-touch-icon-180x180-precomposed.png,83,6
public/apple-touch-icon-120x120-precomposed.png,public/apple-touch-icon-152x152-precomposed.png,83,6
public/apple-touch-icon-144x144-precomposed.png,public/apple-touch-icon-167x167-precomposed.png,83,6
public/apple-touch-icon-167x167-precomposed.png,public/apple-touch-icon-180x180-precomposed.png,83,6
app/views/home/_inbox_module.html.erb,app/views/inbox/show.html.erb,71,7
features/other_b/skin.feature,features/step_definitions/skin_steps.rb,70,9
features/comments_and_kudos/comment_moderation.feature,features/step_definitions/comment_steps.rb,68,16
app/helpers/comments_helper.rb,app/views/comments/unreviewed.html.erb,66,9
app/models/comment.rb,app/views/comments/unreviewed.html.erb,66,8
Gemfile,Gemfile.lock,62,61
features/step_definitions/collection_steps.rb,features/step_definitions/series_steps.rb,61,13
app/models/comment.rb,features/step_definitions/comment_steps.rb,60,10
app/views/inbox/_approve_button.html.erb,app/views/inbox/show.html.erb,58,9
app/controllers/comments_controller.rb,features/comments_and_kudos/comment_moderation.feature,57,18
app/controllers/comments_controller.rb,app/helpers/comments_helper.rb,53,13
app/controllers/comments_controller.rb,app/views/comments/unreviewed.html.erb,53,13
features/bookmarks/bookmark_create.feature,features/step_definitions/bookmark_steps.rb,53,13
app/views/works/_standard_form.html.erb,features/step_definitions/comment_steps.rb,52,12
features/collections/collection_anonymity.feature,features/step_definitions/collection_steps.rb,52,12
app/helpers/comments_helper.rb,app/views/comments/_single_comment.html.erb,52,10
app/views/comments/unreviewed.html.erb,features/comments_and_kudos/comment_moderation.feature,51,14
public/stylesheets/site/2.0/25-media-midsize.css,public/stylesheets/site/2.0/26-media-narrow.css,51,14
app/helpers/comments_helper.rb,features/comments_and_kudos/comment_moderation.feature,51,14
app/models/comment.rb,config/routes.rb,50,10
features/other_b/skin.feature,lib/skin_cache_helper.rb,50,10
app/models/story_parser.rb,spec/models/story_parser_spec.rb,48,13
app/controllers/comments_controller.rb,app/views/inbox/_approve_button.html.erb,48,13
app/views/works/_standard_form.html.erb,features/comments_and_kudos/comment_moderation.feature,44,14
app/views/comments/unreviewed.html.erb,features/step_definitions/comment_steps.rb,43,12
app/controllers/comments_controller.rb,app/models/comment.rb,43,12
app/helpers/comments_helper.rb,features/step_definitions/comment_steps.rb,43,12
app/models/comment.rb,features/comments_and_kudos/comment_moderation.feature,41,12
app/views/comments/_single_comment.html.erb,features/step_definitions/comment_steps.rb,41,12
app/models/story_parser.rb,spec/api/api_spec.rb,40,13
app/controllers/comments_controller.rb,features/step_definitions/comment_steps.rb,38,16
app/controllers/comments_controller.rb,app/views/comments/_single_comment.html.erb,37,14
app/views/comments/_single_comment.html.erb,features/comments_and_kudos/comment_moderation.feature,35,14
config/routes.rb,features/step_definitions/comment_steps.rb,35,14
features/step_definitions/series_steps.rb,features/step_definitions/work_steps.rb,32,19
features/step_definitions/work_steps.rb,features/support/paths.rb,30,20
app/models/skin.rb,lib/skin_cache_helper.rb,27,18
app/controllers/works_controller.rb,features/step_definitions/work_steps.rb,26,19
Gemfile,script/gem_security.sh,20,24
Gemfile.lock,script/gem_security.sh,11,42
