entity,coupled,degree,average-revs
Gemfile,Gemfile.lock,100,8
app/views/user_mailer/added_to_collection_notification.html.erb,app/views/user_mailer/added_to_collection_notification.text.erb,85,7
app/views/user_mailer/invited_to_collection_notification.html.erb,app/views/user_mailer/invited_to_collection_notification.text.erb,83,6
app/views/user_mailer/added_to_collection_notification.text.erb,app/views/user_mailer/invited_to_collection_notification.text.erb,76,7
app/views/user_mailer/added_to_collection_notification.html.erb,app/views/user_mailer/invited_to_collection_notification.text.erb,76,7
app/views/user_mailer/added_to_collection_notification.text.erb,app/views/user_mailer/invited_to_collection_notification.html.erb,76,7
app/views/user_mailer/added_to_collection_notification.html.erb,app/views/user_mailer/invited_to_collection_notification.html.erb,76,7
app/mailers/user_mailer.rb,lib/collectible.rb,66,8
app/controllers/collection_items_controller.rb,app/models/collection_item.rb,64,13
app/controllers/collection_items_controller.rb,app/mailers/user_mailer.rb,60,12
app/models/collection_item.rb,lib/collectible.rb,58,9
app/controllers/collection_items_controller.rb,app/views/collection_items/index.html.erb,54,11
app/models/collection_item.rb,app/views/collection_items/index.html.erb,52,10
app/controllers/collection_items_controller.rb,lib/collectible.rb,50,10
app/mailers/user_mailer.rb,app/models/collection_item.rb,50,10
