entity,coupled,degree,average-revs
app/models/question.rb,db/migrate/20120730213945_doc_faq_rework.rb,58,17
app/views/archive_faqs/_archive_faq_form.html.erb,app/views/archive_faqs/_question_answer_fields.html.erb,51,20
app/controllers/archive_faqs_controller.rb,app/views/archive_faqs/_archive_faq_form.html.erb,50,20
app/views/archive_faqs/index.html.erb,app/views/archive_faqs/show.html.erb,46,13
app/views/archive_faqs/_archive_faq_form.html.erb,app/views/archive_faqs/edit.html.erb,41,15
app/controllers/archive_faqs_controller.rb,app/models/archive_faq.rb,37,16
app/controllers/archive_faqs_controller.rb,app/views/archive_faqs/edit.html.erb,37,14
app/models/archive_faq.rb,app/views/archive_faqs/_archive_faq_form.html.erb,35,17
app/views/archive_faqs/_archive_faq_form.html.erb,app/views/archive_faqs/index.html.erb,34,18
app/controllers/archive_faqs_controller.rb,app/views/archive_faqs/index.html.erb,30,17
