entity,coupled,degree,average-revs
app/stylesheets/style.scss,public/stylesheets/compiled/style.css,100,11
communities/pitajanmaki/frontpage_sidebar/frontpage_sidebar.en.haml,communities/pitajanmaki/frontpage_sidebar/frontpage_sidebar.fi.haml,90,6
config/locales/en.yml,config/locales/fi.yml,85,20
Gemfile,Gemfile.lock,85,7
app/stylesheets/style.scss,config/locales/fi.yml,68,16
config/locales/fi.yml,public/stylesheets/compiled/style.css,68,16
app/controllers/admin/news_items_controller.rb,app/views/homepage/index.haml,62,8
app/controllers/admin/news_items_controller.rb,public/stylesheets/compiled/style.css,58,9
app/controllers/admin/news_items_controller.rb,app/stylesheets/style.scss,58,9
public/javascripts/kassi.js,public/stylesheets/compiled/style.css,57,11
app/stylesheets/style.scss,public/javascripts/kassi.js,57,11
app/views/homepage/index.haml,public/stylesheets/compiled/style.css,57,11
app/stylesheets/style.scss,app/views/homepage/index.haml,57,11
app/views/layouts/application.haml,app/views/layouts/private.haml,52,10
app/views/homepage/index.haml,config/locales/fi.yml,51,16
app/controllers/application_controller.rb,app/controllers/sessions_controller.rb,50,10
app/controllers/sessions_controller.rb,config/routes.rb,48,13
app/controllers/application_controller.rb,app/controllers/people_controller.rb,47,11
app/stylesheets/style.scss,config/locales/en.yml,46,15
config/locales/en.yml,public/stylesheets/compiled/style.css,46,15
config/locales/fi.yml,public/javascripts/kassi.js,45,16
app/views/people/new.haml,config/locales/en.yml,44,14
app/controllers/admin/news_items_controller.rb,config/locales/fi.yml,44,14
app/views/homepage/index.haml,config/locales/en.yml,41,15
Gemfile.lock,app/models/person.rb,40,13
app/views/homepage/sign_in.haml,config/locales/en.yml,38,13
app/controllers/people_controller.rb,app/models/person.rb,37,14
app/models/person.rb,config/routes.rb,36,17
app/views/people/new.haml,config/locales/fi.yml,34,15
config/locales/en.yml,public/javascripts/kassi.js,34,15
config/routes.rb,db/schema.rb,33,15
