entity,coupled,degree,average-revs
app/stylesheets/style.scss,public/stylesheets/compiled/style.css,100,7
Gemfile,Gemfile.lock,83,6
config/locales/en.yml,config/locales/fi.yml,77,9
app/stylesheets/style.scss,config/locales/fi.yml,77,9
config/locales/fi.yml,public/stylesheets/compiled/style.css,77,9
app/controllers/admin/news_items_controller.rb,public/stylesheets/compiled/style.css,76,7
app/controllers/admin/news_items_controller.rb,app/stylesheets/style.scss,76,7
app/views/homepage/index.haml,config/locales/fi.yml,73,10
app/controllers/admin/news_items_controller.rb,app/views/homepage/index.haml,71,7
app/controllers/admin/news_items_controller.rb,config/locales/fi.yml,70,9
public/javascripts/kassi.js,public/stylesheets/compiled/style.css,66,8
app/views/homepage/index.haml,config/locales/en.yml,66,8
app/stylesheets/style.scss,public/javascripts/kassi.js,66,8
app/views/homepage/index.haml,public/stylesheets/compiled/style.css,66,8
app/stylesheets/style.scss,app/views/homepage/index.haml,66,8
config/locales/fi.yml,public/javascripts/kassi.js,63,10
Gemfile.lock,app/models/person.rb,47,11
app/controllers/sessions_controller.rb,config/routes.rb,47,11
app/models/person.rb,config/routes.rb,42,14
