entity,coupled,degree,average-revs
app/controllers/admin/world_location_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,100,16
app/controllers/admin/role_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,100,16
app/controllers/admin/person_translations_controller.rb,app/controllers/admin/world_location_translations_controller.rb,100,16
app/controllers/admin/role_translations_controller.rb,app/controllers/admin/world_location_translations_controller.rb,100,16
app/controllers/admin/person_translations_controller.rb,app/controllers/admin/role_translations_controller.rb,100,16
app/controllers/admin/organisation_translations_controller.rb,app/controllers/admin/world_location_translations_controller.rb,100,16
app/controllers/admin/organisation_translations_controller.rb,app/controllers/admin/role_translations_controller.rb,100,16
app/controllers/admin/organisation_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,100,16
app/controllers/admin/organisation_translations_controller.rb,app/controllers/admin/person_translations_controller.rb,100,16
app/controllers/admin/person_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,100,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/worldwide_office_translations_controller.rb,100,15
app/controllers/admin/world_location_translations_controller.rb,app/controllers/admin/worldwide_office_translations_controller.rb,96,16
app/controllers/admin/role_translations_controller.rb,app/controllers/admin/worldwide_office_translations_controller.rb,96,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/organisation_translations_controller.rb,96,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/world_location_translations_controller.rb,96,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/person_translations_controller.rb,96,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,96,16
app/controllers/admin/person_translations_controller.rb,app/controllers/admin/worldwide_office_translations_controller.rb,96,16
app/controllers/admin/organisation_translations_controller.rb,app/controllers/admin/worldwide_office_translations_controller.rb,96,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/role_translations_controller.rb,96,16
app/controllers/admin/worldwide_office_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,96,16
app/controllers/admin/edition_translations_controller.rb,app/controllers/admin/worldwide_office_translations_controller.rb,93,16
app/controllers/admin/contact_translations_controller.rb,app/controllers/admin/edition_translations_controller.rb,93,16
app/controllers/admin/edition_translations_controller.rb,app/controllers/admin/world_location_translations_controller.rb,90,17
app/controllers/admin/edition_translations_controller.rb,app/controllers/admin/person_translations_controller.rb,90,17
app/controllers/admin/edition_translations_controller.rb,app/controllers/admin/role_translations_controller.rb,90,17
app/controllers/admin/edition_translations_controller.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,90,17
app/controllers/admin/edition_translations_controller.rb,app/controllers/admin/organisation_translations_controller.rb,90,17
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/worldwide_organisations_translations_controller.rb,74,14
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/organisation_translations_controller.rb,74,14
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/world_location_translations_controller.rb,74,14
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/role_translations_controller.rb,74,14
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/person_translations_controller.rb,74,14
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/worldwide_office_translations_controller.rb,69,13
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/contact_translations_controller.rb,69,13
app/controllers/admin/concerns/translations_controller_concerns.rb,app/controllers/admin/edition_translations_controller.rb,64,14
