entity;coupled;degree;average-revs
app/views/potential_matches/_no_potential_givers.html.erb;app/views/potential_matches/_no_potential_recipients.html.erb;100;14
app/views/admin/stats/_invitation_stats.html.erb;app/views/admin/stats/_work_stats.html.erb;100;9
app/views/admin/stats/_user_stats.html.erb;app/views/admin/stats/_work_stats.html.erb;100;9
public/apple-touch-icon-144x144-precomposed.png;public/apple-touch-icon-precomposed.png;100;9
app/views/admin/stats/_invitation_stats.html.erb;app/views/admin/stats/_user_stats.html.erb;100;9
app/views/admin/skins/index.html.erb;app/views/admin/skins/index_rejected.html.erb;100;9
public/apple-touch-icon-114x114-precomposed.png;public/apple-touch-icon-72x72-precomposed.png;100;8
public/apple-touch-icon-114x114-precomposed.png;public/apple-touch-icon.png;100;8
test/fixtures/related_works.yml;test/fixtures/serial_works.yml;100;8
public/apple-touch-icon-57x57-precomposed.png;public/apple-touch-icon.png;100;8
public/apple-touch-icon-114x114-precomposed.png;public/apple-touch-icon-57x57-precomposed.png;100;8
public/apple-touch-icon-72x72-precomposed.png;public/apple-touch-icon.png;100;8
public/apple-touch-icon-57x57-precomposed.png;public/apple-touch-icon-72x72-precomposed.png;100;8
app/views/comment_mailer/comment_notification.html.erb;app/views/comment_mailer/comment_sent_notification.html.erb;100;7
app/views/devmode/list_controllers.html.erb;app/views/devmode/seedworks.html.erb;100;7
features/cassette_library/cucumber_tags/bookmark_fandom_error.yml;features/cassette_library/cucumber_tags/bookmark_url_error.yml;100;7
features/cassette_library/cucumber_tags/import_lj_multi_chapter.yml;features/cassette_library/cucumber_tags/import_lj_tables.yml;100;6
features/cassette_library/cucumber_tags/import_lj_no_backdate.yml;features/cassette_library/cucumber_tags/import_lj_tables.yml;100;6
features/cassette_library/cucumber_tags/import_lj.yml;features/cassette_library/cucumber_tags/import_lj_underscores.yml;100;6
features/cassette_library/cucumber_tags/import_lj.yml;features/cassette_library/cucumber_tags/import_lj_no_backdate.yml;100;6
features/cassette_library/cucumber_tags/import_da_fic.yml;features/cassette_library/cucumber_tags/import_da_title_link.yml;100;6
app/models/character_nomination.rb;app/models/relationship_nomination.rb;100;6
features/cassette_library/cucumber_tags/import_lj.yml;features/cassette_library/cucumber_tags/import_lj_multi_chapter.yml;100;6
features/cassette_library/cucumber_tags/import_lj_multi_chapter.yml;features/cassette_library/cucumber_tags/import_lj_no_backdate.yml;100;6
features/cassette_library/cucumber_tags/import_lj_no_backdate.yml;features/cassette_library/cucumber_tags/import_lj_underscores.yml;100;6
public/apple-touch-icon-152x152-precomposed.png;public/apple-touch-icon-180x180-precomposed.png;100;6
features/cassette_library/cucumber_tags/import_lj_multi_chapter.yml;features/cassette_library/cucumber_tags/import_lj_underscores.yml;100;6
features/cassette_library/cucumber_tags/import_lj_tables.yml;features/cassette_library/cucumber_tags/import_lj_underscores.yml;100;6
public/javascripts/tinymce/plugins/media/plugin.min.js;public/javascripts/tinymce/tinymce.min.js;100;6
features/cassette_library/cucumber_tags/import_lj.yml;features/cassette_library/cucumber_tags/import_lj_tables.yml;100;6
app/views/user_mailer/edited_comment_notification.html.erb;app/views/user_mailer/edited_comment_reply_notification.html.erb;100;5
public/apple-touch-icon-120x120.png;public/apple-touch-icon-180x180.png;100;5
app/views/bookmarks/fetch_recent.js.erb;app/views/bookmarks/hide_recent.js.erb;100;5
public/apple-touch-icon-152x152.png;public/apple-touch-icon-76x76-precomposed.png;100;5
public/403.html;public/422.html;95;12
public/stylesheets/site/2.0/29-role-ie5.css;public/stylesheets/site/2.0/30-role-ie6.css;94;10
test/fixtures/inbox_comments.yml;test/fixtures/related_works.yml;94;9
app/views/admin/skins/index.html.erb;app/views/admin/skins/index_approved.html.erb;94;9
public/apple-touch-icon-114x114-precomposed.png;public/apple-touch-icon-144x144-precomposed.png;94;9
public/apple-touch-icon-72x72-precomposed.png;public/apple-touch-icon-precomposed.png;94;9
test/fixtures/inbox_comments.yml;test/fixtures/serial_works.yml;94;9
public/apple-touch-icon-144x144-precomposed.png;public/apple-touch-icon-57x57-precomposed.png;94;9
public/apple-touch-icon-precomposed.png;public/apple-touch-icon.png;94;9
public/apple-touch-icon-144x144-precomposed.png;public/apple-touch-icon.png;94;9
app/views/admin/skins/index_approved.html.erb;app/views/admin/skins/index_rejected.html.erb;94;9
app/views/inbox/_delete_form.html.erb;app/views/inbox/_read_form.html.erb;94;9
test/fixtures/related_works.yml;test/fixtures/roles_users.yml;94;9
test/fixtures/related_works.yml;test/fixtures/series.yml;94;9
public/apple-touch-icon-114x114-precomposed.png;public/apple-touch-icon-precomposed.png;94;9
public/apple-touch-icon-57x57-precomposed.png;public/apple-touch-icon-precomposed.png;94;9
public/apple-touch-icon-144x144-precomposed.png;public/apple-touch-icon-72x72-precomposed.png;94;9
test/fixtures/roles_users.yml;test/fixtures/serial_works.yml;94;9
test/fixtures/serial_works.yml;test/fixtures/series.yml;94;9
app/views/comment_mailer/comment_reply_notification.html.erb;app/views/comment_mailer/edited_comment_notification.html.erb;94;9
app/views/devmode/index.html.erb;app/views/devmode/list_controllers.html.erb;93;8
app/views/devmode/index.html.erb;app/views/devmode/seedworks.html.erb;93;8
doc/app/js/search_index.js;doc/app/table_of_contents.html;90;17
public/403.html;public/404.html;90;11
public/apple-touch-icon-120x120-precomposed.png;public/apple-touch-icon-152x152.png;90;6
app/models/potential_matcher/potential_matcher_constrained.rb;app/models/potential_matcher/potential_matcher_unconstrained.rb;90;6
public/apple-touch-icon-120x120-precomposed.png;public/apple-touch-icon-76x76-precomposed.png;90;6
app/views/user_mailer/comment_notification.html.erb;app/views/user_mailer/comment_sent_notification.html.erb;90;6
app/views/chapters/download.html.erb;app/views/works/download.html.erb;90;6
public/javascripts/ao3modal.js;public/javascripts/ao3modal.min.js;88;13
test/fixtures/inbox_comments.yml;test/fixtures/series.yml;88;9
app/views/potential_matches/_no_assigned_recipient.html.erb;app/views/potential_matches/_successful_assignments.html.erb;88;9
test/fixtures/inbox_comments.yml;test/fixtures/roles_users.yml;88;9
app/views/comment_mailer/comment_reply_notification.html.erb;app/views/comment_mailer/edited_comment_reply_notification.html.erb;88;9
test/fixtures/roles_users.yml;test/fixtures/series.yml;88;9
app/views/devmode/list_controllers.html.erb;app/views/devmode/seedusers.html.erb;87;8
app/views/devmode/seedusers.html.erb;app/views/devmode/seedworks.html.erb;87;8
app/views/session/_openid.html.erb;app/views/session/_passwd.html.erb;86;15
public/404.html;public/422.html;86;12
app/views/abuse_reports/index.html.erb;app/views/abuse_reports/show.html.erb;85;14
app/views/user_mailer/added_to_collection_notification.html.erb;app/views/user_mailer/added_to_collection_notification.text.erb;85;7
app/views/pseuds/edit.html.erb;app/views/pseuds/new.html.erb;84;10
app/views/potential_matches/_no_assigned_giver.html.erb;app/views/potential_matches/_no_assigned_recipient.html.erb;84;10
test/fixtures/profiles.yml;test/fixtures/related_works.yml;84;10
test/fixtures/profiles.yml;test/fixtures/serial_works.yml;84;10
test/fixtures/creatorships.yml;test/fixtures/profiles.yml;83;12
public/apple-touch-icon-152x152-precomposed.png;public/apple-touch-icon-167x167-precomposed.png;83;6
app/views/known_issues/index.html.erb;app/views/known_issues/show.html.erb;83;6
test/unit/profile_test.rb;test/unit/reading_test.rb;83;6
app/views/orphans/_orphan_pseud.html.erb;app/views/orphans/_orphan_user.html.erb;83;6
public/apple-touch-icon-120x120-precomposed.png;public/apple-touch-icon-180x180-precomposed.png;83;6
public/apple-touch-icon-120x120-precomposed.png;public/apple-touch-icon-152x152-precomposed.png;83;6
app/views/user_mailer/invited_to_collection_notification.html.erb;app/views/user_mailer/invited_to_collection_notification.text.erb;83;6
app/views/collections/_bookmarks_module.html.erb;app/views/collections/_works_module.html.erb;83;6
public/apple-touch-icon-167x167-precomposed.png;public/apple-touch-icon-180x180-precomposed.png;83;6
test/fixtures/related_works.yml;test/fixtures/roles.yml;82;9
test/fixtures/roles.yml;test/fixtures/serial_works.yml;82;9
app/views/comment_mailer/edited_comment_notification.html.erb;app/views/comment_mailer/edited_comment_reply_notification.html.erb;82;9
app/views/devmode/index.html.erb;app/views/devmode/seedusers.html.erb;82;9
app/views/potential_matches/_no_assigned_giver.html.erb;app/views/potential_matches/_no_potential_recipients.html.erb;80;13
app/views/potential_matches/_no_assigned_giver.html.erb;app/views/potential_matches/_no_potential_givers.html.erb;80;13
test/fixtures/profiles.yml;test/fixtures/series.yml;80;10
test/fixtures/profiles.yml;test/fixtures/roles_users.yml;80;10
app/views/translators/index.html.erb;app/views/translators/new.html.erb;80;10
test/fixtures/inbox_comments.yml;test/fixtures/profiles.yml;80;10
app/views/admin/stats/_invitation_stats.html.erb;app/views/admin/stats/index.html.erb;80;8
app/controllers/admin/approve_skins_controller.rb;app/views/admin/approve_skins/index.html.erb;80;8
app/views/comment_mailer/comment_notification.html.erb;app/views/comment_mailer/edited_comment_notification.html.erb;80;8
app/views/admin/stats/_user_stats.html.erb;app/views/admin/stats/index.html.erb;80;8
app/views/user_mailer/comment_reply_notification.html.erb;app/views/user_mailer/comment_sent_notification.html.erb;80;8
app/views/comment_mailer/comment_sent_notification.html.erb;app/views/comment_mailer/edited_comment_notification.html.erb;80;8
app/views/admin/stats/_work_stats.html.erb;app/views/admin/stats/index.html.erb;80;8
test/fixtures/inbox_comments.yml;test/fixtures/roles.yml;77;9
test/fixtures/common_taggings.yml;test/fixtures/serial_works.yml;77;9
test/fixtures/roles.yml;test/fixtures/roles_users.yml;77;9
test/fixtures/common_taggings.yml;test/fixtures/related_works.yml;77;9
test/fixtures/roles.yml;test/fixtures/series.yml;77;9
app/views/potential_matches/_no_assigned_giver.html.erb;app/views/potential_matches/_successful_assignments.html.erb;76;11
test/fixtures/creatorships.yml;test/fixtures/related_works.yml;76;11
public/stylesheets/site/2.0/30-role-ie6.css;public/stylesheets/site/2.0/31-role-ie7.css;76;11
test/fixtures/creatorships.yml;test/fixtures/serial_works.yml;76;11
app/views/bookmarks/search_results.html.erb;app/views/works/search_results.html.erb;76;7
public/javascripts/tinymce/plugins/media/plugin.min.js;public/javascripts/tinymce/plugins/paste/plugin.min.js;76;7
public/javascripts/tinymce/plugins/paste/plugin.min.js;public/javascripts/tinymce/tinymce.min.js;76;7
app/views/user_mailer/added_to_collection_notification.text.erb;app/views/user_mailer/invited_to_collection_notification.text.erb;76;7
app/views/user_mailer/added_to_collection_notification.html.erb;app/views/user_mailer/invited_to_collection_notification.text.erb;76;7
public/javascripts/effects.js;public/javascripts/prototype.js;76;7
app/views/user_mailer/added_to_collection_notification.text.erb;app/views/user_mailer/invited_to_collection_notification.html.erb;76;7
app/views/user_mailer/added_to_collection_notification.html.erb;app/views/user_mailer/invited_to_collection_notification.html.erb;76;7
test/fixtures/chapters.yml;test/fixtures/creatorships.yml;75;15
app/views/admin_mailer/send_spam_alert.html.erb;app/views/admin_mailer/send_spam_alert.text.erb;75;12
app/views/comment_mailer/comment_sent_notification.html.erb;app/views/comment_mailer/edited_comment_reply_notification.html.erb;75;8
app/views/comment_mailer/comment_reply_notification.html.erb;app/views/comment_mailer/comment_sent_notification.html.erb;75;8
app/views/layouts/mailer.html.erb;app/views/layouts/mailer.text.erb;75;8
app/views/comment_mailer/comment_notification.html.erb;app/views/comment_mailer/comment_reply_notification.html.erb;75;8
app/views/comment_mailer/comment_notification.html.erb;app/views/comment_mailer/edited_comment_reply_notification.html.erb;75;8
test/fixtures/bookmarks.yml;test/fixtures/serial_works.yml;73;10
test/fixtures/common_taggings.yml;test/fixtures/series.yml;73;10
test/fixtures/bookmarks.yml;test/fixtures/related_works.yml;73;10
test/fixtures/common_taggings.yml;test/fixtures/inbox_comments.yml;73;10
test/fixtures/common_taggings.yml;test/fixtures/roles_users.yml;73;10
Gemfile;Gemfile.lock;72;214
test/fixtures/creatorships.yml;test/fixtures/series.yml;72;11
app/models/tag_set_nomination.rb;app/views/tag_set_nominations/_nomination_form.html.erb;72;11
test/fixtures/creatorships.yml;test/fixtures/inbox_comments.yml;72;11
app/views/tags/show_hidden.rjs;app/views/tags/show_hidden_freeforms.rjs;72;11
test/fixtures/creatorships.yml;test/fixtures/roles_users.yml;72;11
public/stylesheets/site/2.0/29-role-ie5.css;public/stylesheets/site/2.0/31-role-ie7.css;72;11
app/views/user_mailer/comment_notification.html.erb;app/views/user_mailer/comment_reply_notification.html.erb;71;7
app/views/user_mailer/feedback.html.erb;app/views/user_mailer/feedback.text.erb;71;7
features/tag_wrangling_characters.feature;features/tag_wrangling_freeforms.feature;71;7
test/fixtures/pseuds.yml;test/fixtures/users.yml;70;19
app/views/potential_matches/_no_potential_recipients.html.erb;app/views/potential_matches/_potential_matches.html.erb;70;16
app/views/potential_matches/_no_potential_givers.html.erb;app/views/potential_matches/_potential_matches.html.erb;70;16
test/fixtures/bookmarks.yml;test/fixtures/series.yml;70;10
test/fixtures/bookmarks.yml;test/fixtures/inbox_comments.yml;70;10
test/fixtures/bookmarks.yml;test/fixtures/roles_users.yml;70;10
test/fixtures/profiles.yml;test/fixtures/roles.yml;70;10
test/fixtures/admins.yml;test/fixtures/serial_works.yml;70;10
test/fixtures/admins.yml;test/fixtures/related_works.yml;70;10
test/fixtures/preferences.yml;test/fixtures/profiles.yml;69;13
test/fixtures/preferences.yml;test/fixtures/related_works.yml;69;12
test/fixtures/preferences.yml;test/fixtures/serial_works.yml;69;12
public/422.html;public/500.html;68;18
test/fixtures/creatorships.yml;test/fixtures/pseuds.yml;68;16
test/fixtures/profiles.yml;test/fixtures/users.yml;68;15
test/fixtures/profiles.yml;test/fixtures/pseuds.yml;66;15
test/fixtures/admins.yml;test/fixtures/users.yml;66;15
test/fixtures/chapters.yml;test/fixtures/profiles.yml;66;14
app/views/potential_matches/_no_potential_recipients.html.erb;app/views/potential_matches/_successful_assignments.html.erb;66;12
app/views/potential_matches/_no_potential_givers.html.erb;app/views/potential_matches/_successful_assignments.html.erb;66;12
test/fixtures/inbox_comments.yml;test/fixtures/preferences.yml;66;12
test/fixtures/preferences.yml;test/fixtures/series.yml;66;12
test/fixtures/preferences.yml;test/fixtures/roles_users.yml;66;12
test/fixtures/admins.yml;test/fixtures/roles_users.yml;66;11
test/fixtures/admins.yml;test/fixtures/inbox_comments.yml;66;11
test/fixtures/common_taggings.yml;test/fixtures/profiles.yml;66;11
app/models/character.rb;app/models/freeform.rb;66;11
test/fixtures/admins.yml;test/fixtures/series.yml;66;11
test/fixtures/bookmarks.yml;test/fixtures/common_taggings.yml;66;11
app/models/character_nomination.rb;app/models/tag_nomination.rb;66;9
app/controllers/translations_controller.rb;app/views/translations/index.html.erb;66;9
app/models/relationship_nomination.rb;app/models/tag_nomination.rb;66;9
app/models/fandom_nomination.rb;app/models/tag_nomination.rb;66;9
public/503.html;public/507.html;66;9
public/apple-touch-icon-167x167-precomposed.png;public/apple-touch-icon-precomposed.png;66;8
app/views/user_mailer/batch_subscription_notification.html.erb;app/views/user_mailer/batch_subscription_notification.text.erb;66;8
public/apple-touch-icon-144x144-precomposed.png;public/apple-touch-icon-167x167-precomposed.png;66;8
app/views/chapters/_choose_coauthor.html.erb;app/views/works/_choose_coauthor.html.erb;66;8
public/403.html;public/500.html;64;17
app/views/users/change_email.html.erb;app/views/users/change_password.html.erb;64;17
test/fixtures/creatorships.yml;test/fixtures/users.yml;64;16
test/fixtures/creatorships.yml;test/fixtures/preferences.yml;64;14
app/controllers/tag_set_nominations_controller.rb;app/models/tag_set_nomination.rb;64;14
app/views/challenge/gift_exchange/_gift_exchange_form.html.erb;app/views/challenge/prompt_meme/_prompt_meme_form.html.erb;64;14
test/fixtures/common_taggings.yml;test/fixtures/taggings.yml;64;14
doc/app/created.rid;doc/app/js/search_index.js;63;29
app/views/kudo_mailer/batch_kudo_notification.html.erb;app/views/kudo_mailer/batch_kudo_notification.text.erb;63;11
test/fixtures/admins.yml;test/fixtures/common_taggings.yml;63;11
test/fixtures/creatorships.yml;test/fixtures/roles.yml;63;11
test/fixtures/bookmarks.yml;test/fixtures/profiles.yml;63;11
app/views/potential_matches/_no_assigned_recipient.html.erb;app/views/potential_matches/_no_potential_givers.html.erb;63;11
app/views/potential_matches/_no_assigned_recipient.html.erb;app/views/potential_matches/_no_potential_recipients.html.erb;63;11
test/fixtures/common_taggings.yml;test/fixtures/roles.yml;63;10
app/views/admin_posts/index.html.erb;app/views/admin_posts/show.html.erb;62;23
test/fixtures/chapters.yml;test/fixtures/pseuds.yml;62;18
test/fixtures/profiles.yml;test/fixtures/taggings.yml;62;15
app/controllers/tag_set_nominations_controller.rb;app/models/tag_nomination.rb;62;15
app/views/works/_work_approved_children.html.erb;app/views/works/_work_series_links.html.erb;62;8
app/views/archive_faqs/edit.html.erb;app/views/archive_faqs/new.html.erb;62;8
app/views/challenge_signups/_show_offers.html.erb;app/views/challenge_signups/_show_requests.html.erb;62;8
app/views/bookmarks/search.html.erb;app/views/people/search.html.erb;62;8
app/controllers/admin/api_controller.rb;app/views/admin/api/index.html.erb;62;8
test/fixtures/chapters.yml;test/fixtures/works.yml;61;20
test/fixtures/creatorships.yml;test/fixtures/works.yml;61;18
test/fixtures/related_works.yml;test/fixtures/taggings.yml;61;13
test/fixtures/serial_works.yml;test/fixtures/taggings.yml;61;13
test/fixtures/serial_works.yml;test/fixtures/users.yml;61;13
test/fixtures/related_works.yml;test/fixtures/users.yml;61;13
app/controllers/potential_matches_controller.rb;app/views/potential_matches/_potential_matches.html.erb;60;25
test/fixtures/admins.yml;test/fixtures/bookmarks.yml;60;12
test/fixtures/comments.yml;test/fixtures/serial_works.yml;60;12
